"batch_id","run_id","jcm","ccrs_mode","source","file","line","invocation","event","strategy_id","result_type","action_type","action_target","confidence","no_help_reason","rationale","evaluation_time_ms","selected_count","suggestion_count","has_opportunistic_guidance"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","455","1","ccrs.contingency.evaluate.request",,,,,,,,,,,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","463","1","ccrs.contingency.strategy.evaluated","retry","none",,,,,,"0",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","498","1","ccrs.contingency.strategy.evaluated","backtrack","suggestion","navigate","http://127.0.1.1:8080/cells/11/6","0.303397980735908",,"Blocked at http://127.0.1.1:8080/cells/12/5. Backtracking to checkpoint http://127.0.1.1:8080/cells/11/6 with 1 unexplored alternative(s) (distance: 2 steps) [selected from 6 candidates]","8",,,"True"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","509","1","ccrs.contingency.strategy.evaluated","consultation","none",,,,,,"0",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1203","1","ccrs.contingency.strategy.evaluated","prediction_llm","suggestion","post","http://127.0.1.1:8080/cells/12/5","0.93",,"LLM suggests: post to http://127.0.1.1:8080/cells/12/5. Reasoning: The current cell is a locked GreenKey lock exposing an open Hydra POST operation that requires dynmaze:keyValue, and the matching key value greenkey-4852 was observed on a key that fits this lock.","12232",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","1226","1","ccrs.contingency.evaluate.returned","prediction_llm",,"post","http://127.0.1.1:8080/cells/12/5","0.93",,,,,"2","False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3253","2","ccrs.contingency.evaluate.request",,,,,,,,,,,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3261","2","ccrs.contingency.strategy.evaluated","retry","none",,,,,,"0",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3377","2","ccrs.contingency.strategy.evaluated","backtrack","suggestion","navigate","http://127.0.1.1:8080/cells/35/36","0.327725887222398",,"Blocked at http://127.0.1.1:8080/cells/36/36. Backtracking to checkpoint http://127.0.1.1:8080/cells/35/36 with 1 unexplored alternative(s) (distance: 1 steps) [selected from 34 candidates]","5",,,"True"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","3388","2","ccrs.contingency.strategy.evaluated","consultation","none",,,,,,"1",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4454","2","ccrs.contingency.strategy.evaluated","prediction_llm","suggestion","post","http://127.0.1.1:8080/cells/36/36","0.94",,"LLM suggests: post to http://127.0.1.1:8080/cells/36/36. Reasoning: The current cell is a locked RedKey lock with an open Hydra POST operation requiring dynmaze:keyValue, and a matching RedKey value redkey-1670 fitting this lock was observed at http://127.0.1.1:808...","5817",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","4477","2","ccrs.contingency.evaluate.returned","prediction_llm",,"post","http://127.0.1.1:8080/cells/36/36","0.94",,,,,"2","False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5256","3","ccrs.contingency.evaluate.request",,,,,,,,,,,
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5264","3","ccrs.contingency.strategy.evaluated","retry","none",,,,,,"0",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5413","3","ccrs.contingency.strategy.evaluated","backtrack","suggestion","navigate","http://127.0.1.1:8080/cells/42/43","0.272748443309949",,"Blocked at http://127.0.1.1:8080/cells/44/45. Backtracking to checkpoint http://127.0.1.1:8080/cells/42/43 with 1 unexplored alternative(s) (distance: 4 steps)","3",,,"True"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","5464","3","ccrs.contingency.strategy.evaluated","consultation","suggestion","post","http://127.0.1.1:8080/cells/44/45","0.99",,"External consultation via a2a (Key Holder Agent (key-holder-agent-1)/provide_blue_key) projected into action: post to http://127.0.1.1:8080/cells/44/45. Projected first literal-valued statement from consultation artifact onto current focus resource. @prefix dyn: <https://paul.ti.rw.fau.de/~am52etar/dynmaze/dynmaze#> .

<http://127.0.1.1:8080/cells/42/41#key> a dyn:BlueKey;
    dyn:fitsInLock <h...","677",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6322","3","ccrs.contingency.strategy.evaluated","prediction_llm","no_help",,,,"INSUFFICIENT_CONTEXT","The current resource exposes an open BlueKey unlock POST requiring dynmaze:keyValue, but no observed matching BlueKey value is available in the provided history or neighborhood, so constructing a safe payload would require guessing.","8308",,,"False"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","6358","3","ccrs.contingency.evaluate.returned","consultation",,"post","http://127.0.1.1:8080/cells/44/45","0.99",,,,,"2","False"
