"batch_id","zone","zone_title","zone_order","run_id","jcm","ccrs_mode","completed","completion_cell","start_cell","final_cell","start_step","final_step","total_duration_ms","total_moves","average_cycle_duration_ms","optimal_moves","actual_moves","move_delta_from_optimal","multi_option_decisions","multi_option_with_ccrs","multi_option_overruled","zero_or_one_option_decisions"
"baseline-vs-ccrs-v1","signifier","Signifier Zone","1","001-baseline","dfs_baseline.jcm","none","no","cells/13/5","cells/0","cells/0","1","241","29624","241","123.43","tbd","241","tbd","0","0","0","0"
"baseline-vs-ccrs-v1","stigmergy","Stigmergy Zone","2","001-baseline","dfs_baseline.jcm","none","no","cells/28/14","","","","",,"0",,"tbd","0","tbd","0","0","0","0"
"baseline-vs-ccrs-v1","mixed","Mixed Zone","3","001-baseline","dfs_baseline.jcm","none","no","cells/36/37","","","","",,"0",,"tbd","0","tbd","0","0","0","0"
"baseline-vs-ccrs-v1","construction-site","Construction Site Zone","4","001-baseline","dfs_baseline.jcm","none","no","cells/39/43","","","","",,"0",,"tbd","0","tbd","0","0","0","0"
"baseline-vs-ccrs-v1","social","Social Zone","5","001-baseline","dfs_baseline.jcm","none","no","cells/999","","","","",,"0",,"tbd","0","tbd","0","0","0","0"
"baseline-vs-ccrs-v1","signifier","Signifier Zone","1","002-ccrs","dfs_ccrs.jcm","both","yes","cells/13/5","cells/0","cells/13/5","1","21","15213","21","760.65","tbd","21","tbd","7","7","4","12"
"baseline-vs-ccrs-v1","stigmergy","Stigmergy Zone","2","002-ccrs","dfs_ccrs.jcm","both","yes","cells/28/14","cells/13/5","cells/28/14","21","45","3127","24","130.29","tbd","24","tbd","8","8","3","16"
"baseline-vs-ccrs-v1","mixed","Mixed Zone","3","002-ccrs","dfs_ccrs.jcm","both","yes","cells/36/37","cells/28/14","cells/36/37","45","103","13212","58","227.79","tbd","58","tbd","20","20","8","37"
"baseline-vs-ccrs-v1","construction-site","Construction Site Zone","4","002-ccrs","dfs_ccrs.jcm","both","yes","cells/39/43","cells/36/37","cells/39/43","103","122","2267","19","119.32","tbd","19","tbd","5","3","0","14"
"baseline-vs-ccrs-v1","social","Social Zone","5","002-ccrs","dfs_ccrs.jcm","both","yes","cells/999","cells/39/43","cells/999","122","152","12630","30","421","tbd","30","tbd","6","0","0","16"
