"batch_id","run_id","jcm","ccrs_mode","file","line","action_type","target","outcome"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","9","move_attempt","http://127.0.1.1:8080/cells/0","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","10","move_post","http://127.0.1.1:8080/cells/0","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","11","move","http://127.0.1.1:8080/cells/0","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","23","move_attempt","http://127.0.1.1:8080/cells/0/2","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","24","move_post","http://127.0.1.1:8080/cells/0/2","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","25","move","http://127.0.1.1:8080/cells/0/2","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","38","move_attempt","http://127.0.1.1:8080/cells/1/2","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","39","move_post","http://127.0.1.1:8080/cells/1/2","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","40","move","http://127.0.1.1:8080/cells/1/2","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","53","move_attempt","http://127.0.1.1:8080/cells/2/2","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","54","move_post","http://127.0.1.1:8080/cells/2/2","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","55","move","http://127.0.1.1:8080/cells/2/2","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","72","move_attempt","http://127.0.1.1:8080/cells/2/3","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","73","move_post","http://127.0.1.1:8080/cells/2/3","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","74","move","http://127.0.1.1:8080/cells/2/3","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","87","move_attempt","http://127.0.1.1:8080/cells/2/4","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","88","move_post","http://127.0.1.1:8080/cells/2/4","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","89","move","http://127.0.1.1:8080/cells/2/4","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","102","move_attempt","http://127.0.1.1:8080/cells/1/4","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","103","move_post","http://127.0.1.1:8080/cells/1/4","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","104","move","http://127.0.1.1:8080/cells/1/4","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","117","move_attempt","http://127.0.1.1:8080/cells/1/5","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","118","move_post","http://127.0.1.1:8080/cells/1/5","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","119","move","http://127.0.1.1:8080/cells/1/5","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","132","move_attempt","http://127.0.1.1:8080/cells/1/6","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","133","move_post","http://127.0.1.1:8080/cells/1/6","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","134","move","http://127.0.1.1:8080/cells/1/6","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","149","move_attempt","http://127.0.1.1:8080/cells/1/7","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","150","move_post","http://127.0.1.1:8080/cells/1/7","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","151","move","http://127.0.1.1:8080/cells/1/7","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","161","backtrack","http://127.0.1.1:8080/cells/1/6","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","162","move_attempt","http://127.0.1.1:8080/cells/1/6","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","163","move_post","http://127.0.1.1:8080/cells/1/6","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","164","move","http://127.0.1.1:8080/cells/1/6","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","178","move_attempt","http://127.0.1.1:8080/cells/2/6","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","179","move_post","http://127.0.1.1:8080/cells/2/6","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","180","move","http://127.0.1.1:8080/cells/2/6","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","193","move_attempt","http://127.0.1.1:8080/cells/3/6","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","194","move_post","http://127.0.1.1:8080/cells/3/6","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","195","move","http://127.0.1.1:8080/cells/3/6","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","210","move_attempt","http://127.0.1.1:8080/cells/3/7","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","211","move_post","http://127.0.1.1:8080/cells/3/7","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","212","move","http://127.0.1.1:8080/cells/3/7","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","225","move_attempt","http://127.0.1.1:8080/cells/3/8","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","226","move_post","http://127.0.1.1:8080/cells/3/8","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","227","move","http://127.0.1.1:8080/cells/3/8","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","240","move_attempt","http://127.0.1.1:8080/cells/3/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","241","move_post","http://127.0.1.1:8080/cells/3/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","242","move","http://127.0.1.1:8080/cells/3/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","257","move_attempt","http://127.0.1.1:8080/cells/2/9","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","258","move_post","http://127.0.1.1:8080/cells/2/9","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","259","move","http://127.0.1.1:8080/cells/2/9","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","272","move_attempt","http://127.0.1.1:8080/cells/2/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","273","move_post","http://127.0.1.1:8080/cells/2/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","274","move","http://127.0.1.1:8080/cells/2/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","289","move_attempt","http://127.0.1.1:8080/cells/1/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","290","move_post","http://127.0.1.1:8080/cells/1/10","requested"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","291","move","http://127.0.1.1:8080/cells/1/10","success"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","301","backtrack","http://127.0.1.1:8080/cells/2/10","attempted"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mas-0.log","302","move_attempt","http://127.0.1.1:8080/cells/2/10","attempted"
