"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4899","run-2026-05-24T10-59-10-998Z","6402699","unknown","AGENT_MOVED","1779620479653","1779620479682",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/0",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4900","run-2026-05-24T10-59-10-998Z","6402700","unknown","TRANSACTION","1779620479660","1779620479682",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/0","2453","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4901","run-2026-05-24T10-59-10-998Z","6402701","unknown","AGENT_MOVED","1779620479836","1779620479867",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/0/2",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4902","run-2026-05-24T10-59-10-998Z","6402702","unknown","TRANSACTION","1779620479839","1779620479867",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/0/2","2454","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4903","run-2026-05-24T10-59-10-998Z","6402703","unknown","AGENT_MOVED","1779620480003","1779620480023",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/2",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4904","run-2026-05-24T10-59-10-998Z","6402704","unknown","TRANSACTION","1779620480005","1779620480023",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/2","2455","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4905","run-2026-05-24T10-59-10-998Z","6402705","unknown","AGENT_MOVED","1779620480154","1779620480174",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/2",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4906","run-2026-05-24T10-59-10-998Z","6402706","unknown","TRANSACTION","1779620480155","1779620480174",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/2","2456","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4907","run-2026-05-24T10-59-10-998Z","6402707","unknown","AGENT_MOVED","1779620480297","1779620480309",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/3",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4908","run-2026-05-24T10-59-10-998Z","6402708","unknown","TRANSACTION","1779620480299","1779620480309",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/3","2457","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4909","run-2026-05-24T10-59-10-998Z","6402709","unknown","AGENT_MOVED","1779620480440","1779620480458",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/2/4",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4910","run-2026-05-24T10-59-10-998Z","6402710","unknown","TRANSACTION","1779620480442","1779620480458",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/2/4","2458","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4911","run-2026-05-24T10-59-10-998Z","6402711","unknown","AGENT_MOVED","1779620480587","1779620480606",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/4",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4912","run-2026-05-24T10-59-10-998Z","6402712","unknown","TRANSACTION","1779620480589","1779620480606",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/4","2459","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4913","run-2026-05-24T10-59-10-998Z","6402713","unknown","AGENT_MOVED","1779620480716","1779620480728",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/5",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4914","run-2026-05-24T10-59-10-998Z","6402714","unknown","TRANSACTION","1779620480718","1779620480728",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/5","2460","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4915","run-2026-05-24T10-59-10-998Z","6402715","unknown","AGENT_MOVED","1779620480838","1779620480863",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/6",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4916","run-2026-05-24T10-59-10-998Z","6402716","unknown","TRANSACTION","1779620480839","1779620480863",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/6","2461","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4917","run-2026-05-24T10-59-10-998Z","6402717","unknown","AGENT_MOVED","1779620480965","1779620480973",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/7",,"-1",,
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4918","run-2026-05-24T10-59-10-998Z","6402718","unknown","TRANSACTION","1779620480976","1779620480989",,"dfs_baseline_nesw_1",,"http://127.0.1.1:8080/cells/1/7","2462","POST","COMMITTED"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","4919","run-2026-05-24T10-59-10-998Z","6402719","unknown","AGENT_MOVED","1779620481098","1779620481108",,"http://127.0.1.1:8080/agents/dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/1/6",,"-1",,
