"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","capture_source","type","timestamp","archived_at","captured_at","agent","cell","graph","transaction_id","trigger","status"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4899","run-2026-05-24T11-02-24-828Z","6408332","unknown","AGENT_MOVED","1779620789259","1779620789284",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/0",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4900","run-2026-05-24T11-02-24-828Z","6408333","unknown","TRANSACTION","1779620789261","1779620789284",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/0","5271","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4901","run-2026-05-24T11-02-24-828Z","6408334","unknown","AGENT_MOVED","1779620789421","1779620789432",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/0/2",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4902","run-2026-05-24T11-02-24-828Z","6408335","unknown","TRANSACTION","1779620789423","1779620789432",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/0/2","5272","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4903","run-2026-05-24T11-02-24-828Z","6408336","unknown","AGENT_MOVED","1779620789559","1779620789586",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/1/2",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4904","run-2026-05-24T11-02-24-828Z","6408337","unknown","TRANSACTION","1779620789561","1779620789586",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/1/2","5273","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4905","run-2026-05-24T11-02-24-828Z","6408338","unknown","AGENT_MOVED","1779620789713","1779620789732",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/2/2",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4906","run-2026-05-24T11-02-24-828Z","6408339","unknown","TRANSACTION","1779620789716","1779620789732",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/2/2","5274","POST","COMMITTED"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4907","run-2026-05-24T11-02-24-828Z","6408340","unknown","AGENT_MOVED","1779620789851","1779620789866",,"http://127.0.1.1:8080/agents/dfs_ccrs_1","http://127.0.1.1:8080/cells/3/2",,"-1",,
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4908","run-2026-05-24T11-02-24-828Z","6408341","unknown","TRANSACTION","1779620789853","1779620789866",,"dfs_ccrs_1",,"http://127.0.1.1:8080/cells/3/2","5275","POST","COMMITTED"
