"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","timestamp","transaction_id","trigger","status","agent","graph","trace_mode","rule_count","error","started_at","finished_at","duration_ms","capture_source"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4900","run-2026-05-24T11-02-24-828Z","6408333","1779620789261","5271","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/0","summary","9",,"1779620789164","1779620789259","95","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4902","run-2026-05-24T11-02-24-828Z","6408335","1779620789423","5272","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/0/2","summary","9",,"1779620789341","1779620789421","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4904","run-2026-05-24T11-02-24-828Z","6408337","1779620789561","5273","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/1/2","summary","9",,"1779620789482","1779620789560","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4906","run-2026-05-24T11-02-24-828Z","6408339","1779620789716","5274","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/2/2","summary","9",,"1779620789624","1779620789716","92","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4908","run-2026-05-24T11-02-24-828Z","6408341","1779620789853","5275","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/3/2","summary","9",,"1779620789774","1779620789854","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4910","run-2026-05-24T11-02-24-828Z","6408343","1779620789990","5276","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/4/2","summary","9",,"1779620789910","1779620789988","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4912","run-2026-05-24T11-02-24-828Z","6408345","1779620790123","5277","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/5/2","summary","9",,"1779620790041","1779620790121","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4914","run-2026-05-24T11-02-24-828Z","6408347","1779620790263","5278","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/6/2","summary","9",,"1779620790174","1779620790260","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4916","run-2026-05-24T11-02-24-828Z","6408349","1779620790384","5279","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/7/2","summary","9",,"1779620790308","1779620790383","75","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4918","run-2026-05-24T11-02-24-828Z","6408351","1779620790517","5280","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/8/2","summary","9",,"1779620790431","1779620790514","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4920","run-2026-05-24T11-02-24-828Z","6408353","1779620790653","5281","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/9/2","summary","9",,"1779620790560","1779620790645","85","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4922","run-2026-05-24T11-02-24-828Z","6408355","1779620790783","5282","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/10/2","summary","9",,"1779620790689","1779620790782","93","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4924","run-2026-05-24T11-02-24-828Z","6408357","1779620790914","5283","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/10/3","summary","9",,"1779620790826","1779620790912","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4926","run-2026-05-24T11-02-24-828Z","6408359","1779620791038","5284","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/11/3","summary","9",,"1779620790959","1779620791037","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4928","run-2026-05-24T11-02-24-828Z","6408361","1779620791171","5285","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/12/3","summary","9",,"1779620791078","1779620791170","92","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4930","run-2026-05-24T11-02-24-828Z","6408363","1779620791313","5286","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/12/4","summary","9",,"1779620791220","1779620791309","89","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4932","run-2026-05-24T11-02-24-828Z","6408365","1779620791440","5287","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/12/5","summary","9",,"1779620791351","1779620791439","88","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4934","run-2026-05-24T11-02-24-828Z","6408367","1779620791567","5288","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/13/5","summary","9",,"1779620791480","1779620791563","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4936","run-2026-05-24T11-02-24-828Z","6408369","1779620791700","5289","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/14/5","summary","9",,"1779620791618","1779620791699","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4938","run-2026-05-24T11-02-24-828Z","6408371","1779620791834","5290","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/5","summary","9",,"1779620791747","1779620791825","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4940","run-2026-05-24T11-02-24-828Z","6408373","1779620791955","5291","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/6","summary","9",,"1779620791870","1779620791951","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4942","run-2026-05-24T11-02-24-828Z","6408375","1779620792083","5292","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/7","summary","9",,"1779620791992","1779620792078","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4944","run-2026-05-24T11-02-24-828Z","6408377","1779620792206","5293","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/8","summary","9",,"1779620792122","1779620792204","82","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4946","run-2026-05-24T11-02-24-828Z","6408379","1779620792330","5294","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/16/8","summary","9",,"1779620792245","1779620792329","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4948","run-2026-05-24T11-02-24-828Z","6408381","1779620792461","5295","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/17/8","summary","9",,"1779620792372","1779620792458","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4950","run-2026-05-24T11-02-24-828Z","6408383","1779620792595","5296","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/18/8","summary","9",,"1779620792502","1779620792586","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4952","run-2026-05-24T11-02-24-828Z","6408385","1779620792711","5297","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/18/9","summary","9",,"1779620792631","1779620792709","78","unknown"
